Occupation_Title,Category,starting_salary_RM,salary_growth_rate,education_cost_RM,employment_probability,income_variability,stability,job_security,industry_demand,key_skills,market_trend,wage_signal,labour_trend,recruitment_signal,market_signal,risk_notes,demand_status,roi_assessment,ai_recommendation
,,,,,,,,,,,,,,,,,,,
Teacher (Primary/Secondary),Persistent,4000,0.07,40000,0.9,low,high,very_high,Education|Public Sector,Coaching|Empathy|Communication|Adaptability,stable,steady,,,,,,medium,Stable career with strong job security but limited salary growth
Nurse,Persistent,3800,0.07,35000,0.9,low,high,very_high,Healthcare|Hospitals,Empathy|Clinical Skills|Teamwork,high_demand,steady,,,,,,high,Healthcare demand ensures strong job security and stable income
Accountant,Persistent,4200,0.08,45000,0.9,low,high,high,Finance|Corporate,Analytical Thinking|Financial Analysis|Data Skills,stable,increasing,,,,,,high,Adding data analytics skills increases salary significantly
Administrative Officer,Persistent,3500,0.06,30000,0.9,low,high,high,Corporate|Government,Organisation|Communication|Digital Literacy,stable,flat,,,,,,medium,Safe job but limited salary growth and automation risk
Logistics Coordinator,Persistent,3600,0.07,30000,0.88,low,high,high,Logistics|Supply Chain,Planning|Coordination|Data Tracking,high_demand,increasing,,,,,,high,E-commerce growth increases demand for logistics roles
Civil Engineer,Persistent,4500,0.08,50000,0.85,low,high,high,Construction|Infrastructure,Engineering|Problem Solving|Technical Design,high_demand,strong,,,,,,high,Strong infrastructure demand ensures good ROI
Pharmacist,Persistent,5000,0.07,60000,0.9,low,high,very_high,Healthcare|Pharmaceutical,Medical Knowledge|Precision|Ethics,stable,strong,,,,,,high,High education cost but stable high-paying career
Bank Officer,Persistent,3800,0.06,35000,0.88,low,high,high,Banking|Finance,Customer Service|Finance Knowledge|Digital Skills,stable,moderate,,,,,,medium,Stable but digital disruption may limit growth
Quantity Surveyor,Persistent,4200,0.08,45000,0.85,low,high,high,Construction|Engineering,Cost Estimation|Analytics|Project Management,high_demand,increasing,,,,,,high,Good ROI due to construction demand
Data Analyst,Emerging,3800,0.1,25000,0.8,medium,medium,high,Technology|Finance|E-commerce,Python|SQL|Data Visualisation,rapid_growth,increasing,,,,,,very_high,One of the best ROI careers with strong demand
Cybersecurity Analyst,Emerging,4500,0.11,30000,0.78,medium,medium,high,Technology|Finance|Government,Security|Networking|Risk Analysis,rapid_growth,high_premium,,,,,,very_high,Critical skill shortage leads to strong salary growth
Digital Marketing Specialist,Emerging,3500,0.1,20000,0.75,medium,medium,medium,Marketing|E-commerce,SEO|Analytics|Content Creation,growth,increasing,,,,,,high,Good entry-level career with scalable skills
UI/UX Designer,Emerging,3700,0.1,25000,0.75,medium,medium,medium,Technology|Design,Design Thinking|Prototyping|User Research,growth,increasing,,,,,,high,Combine creativity with tech for better ROI
E-commerce Specialist,Emerging,3400,0.09,20000,0.78,medium,medium,medium,E-commerce|Retail,Digital Marketing|Analytics|Operations,growth,increasing,,,,,,high,Strong demand due to online business growth
Renewable Energy Technician,Emerging,3600,0.09,20000,0.8,low,medium,high,Energy|Sustainability,Technical Skills|Maintenance|Safety,growth,increasing,,,,,,high,Future-proof career with global demand
AI / Machine Learning Engineer,Emerging,5000,0.12,40000,0.7,medium,medium,high,Technology|AI,Python|ML|Statistics,rapid_growth,high_premium,,,,,,very_high,Top-tier career with highest salary growth potential
Cloud Engineer,Emerging,4800,0.11,35000,0.75,medium,medium,high,Technology|Cloud Infrastructure,Cloud Platforms|DevOps|Networking,rapid_growth,high_premium,,,,,,very_high,Cloud demand ensures strong long-term ROI
Mobile App Developer,Emerging,4200,0.1,30000,0.78,medium,medium,high,Technology|Mobile,Programming|UI|Problem Solving,growth,increasing,,,,,,high,Good balance of salary and accessibility
HR Executive,Mid,3200,0.06,25000,0.7,low,medium,medium,Corporate|HR,Communication|People Management|Organisation,stable,flat,,,,,,medium,Stable but limited salary progression
Marketing Executive,Mid,3000,0.06,20000,0.68,medium,medium,medium,Marketing|Corporate,Creativity|Analytics|Communication,competitive,variable,,,,,,medium,Needs digital skills to stay competitive
Graphic Designer,Mid,2800,0.05,20000,0.65,medium,medium,medium,Creative|Media,Design|Creativity|Software Skills,competitive,low,,,,,,medium,Income depends heavily on portfolio strength
Business Development Executive,Mid,3300,0.06,25000,0.7,medium,medium,medium,Sales|Corporate,Negotiation|Communication|Strategy,competitive,variable,,,,,,medium,Performance-based career with growth potential
Journalist,Mid,2800,0.05,20000,0.6,medium,medium,low,Media|Publishing,Writing|Research|Communication,declining,low,,,,,,low,Industry disruption reduces long-term stability
Interior Designer,Mid,3000,0.06,25000,0.65,medium,medium,medium,Design|Construction,Creativity|Design Tools|Client Management,competitive,variable,,,,,,medium,Portfolio-driven income potential
