Uni,Classification,Course Name,Local Fee per Year (MYR),Duration (Years)
MMU,foundation,communication,6500,1
,foundation,computing,6500,1
,foundation,creative multimedia,6500,1
,foundation,engineering,6500,1
,foundation,management,6500,1
,diploma,3D modelling & animation,9920,2.5
,diploma,applied communication,11700,2
,diploma,cinematography,12250,2
,diploma,creative audio,12250,2
,diploma,creative multimedia,12250,2
,diploma,information technology,12250,2
,diploma,finance,11700,2
,diploma,management,11700,2
,bachelor (hons),accounting,24334,3
,bachelor (hons),analytical economics,18084,3
,bachelor (hons),business management,18084,3
,bachelor (hons),digital enterprise management,18084,3
,bachelor (hons),finance,18084,3
,bachelor (hons),marketing,18084,3
,bachelor (hons),cinematic arts,20750,3
,bachelor (hons),cs in ai,20750,3
,bachelor (hons),cs in cybersecurity,20750,3
,bachelor (hons),cs in data science,20750,3
,bachelor (hons),cs in game development,20750,3
,bachelor (hons),cs in software engineering,20750,3
,bachelor (hons),information technology information systems,20750,3
,bachelor (hons),multimedia,20750,3
,bachelor (hons),science intelligent robotics,20750,3
,bachelor (hons),communication (strategic communication),17417,3
,bachelor (hons),engineering,19000,4
,masters (coursework),business administration,22270,1
,masters (coursework),engineering,,1
,masters (coursework),creative multimedia,23645,1
,masters (coursework),engineering in business management,21770,1
,,,,
,masters (research),computer science,8450,2
,masters (research),philosophy,3750,2
,masters (research),science in creative multimedia,,1
,Doctorate,business administration,18034,3
,Doctorate,philosophy in communication,7350,3
,Doctorate,philosophy in creative multimedia,5625,2
,Doctorate,philosophy in engineering,3750,2
,,,,
APU,Certificate,Certificate in Administrative Skills,10969,1.33
,Certificate,Certificate in Information & Communication Technology,9367,1.42
,Certificate,Postgraduate Certificate of Education in Learning Design & Technology (ODL),7560,1
,Foundation,Foundation in Architecture & Design Pathway,26400,1
,Foundation,"Foundation in Business, Finance & Social Sciences Pathway",26400,1
,Foundation,Foundation in Computing (ODL),19800,1
,Foundation,Foundation in Computing & Technology Pathway,26400,1
,Foundation,Foundation in Engineering,26800,1
,Diploma,Diploma in Accounting,7392,2.5
,Diploma,Diploma in Business Administration,7392,2.5
,Diploma,Diploma in Business Information Technology,7392,2.5
,Diploma,Diploma in Design and Media,7872,2.5
,Diploma,Diploma in Events Management,7648,2.5
,Diploma,Diploma in Hotel Management,7904,2.5
,Diploma,Diploma in Information & Communication Technology (Data Informatics),7872,2.5
,Diploma,Diploma in Information & Communication Technology (Interactive Technology),7872,2.5
,Diploma,Diploma in Information & Communication Technology (Software Engineering),7872,2.5
,Diploma,Diploma in Information & Communication Technology,7872,2.5
,Diploma,Diploma in International Studies,7232,2.5
,Diploma,Diploma in Mechatronic Engineering,7872,2.5
,Postgraduate Diploma,Postgraduate Diploma of Education in Learning Design & Technology (ODL),3700,2
,Bachelor,Bachelor in Banking and Finance (Hons) (Investment Analytics),10733,3
,Bachelor,Bachelor in Banking and Finance (Hons) (Financial Planning),10733,3
,Bachelor,Bachelor in Interactive Media & Immersive Technology (Hons),11356,3
,Bachelor,Bachelor in Interactive Media & Immersive Technology (Hons) VR/AR,11356,3
,Bachelor,BA (Hons) in Accounting and Finance,11089,3
,Bachelor,Bachelor of Computer Engineering (Hons),7425,4
,Bachelor,Bachelor of Electrical & Electronic Engineering (Hons),7425,4
,Bachelor,Bachelor of Mechanical Engineering (Hons),7425,4
,Bachelor,Bachelor of Mechatronic Engineering (Hons),7425,4
,Bachelor,Bachelor of Petroleum Engineering (Hons),7425,4
,Bachelor,BSc (Hons) in Information Technology,11356,3
,Bachelor,BSc (Hons) in Computer Science,11356,3
,Bachelor,BSc (Hons) in Software Engineering,11356,3
,Master,Master of Business Administration (MBA),34800,1
,Master,Master of Science in Artificial Intelligence,38500,1
,Master,Master of Science in Cyber Security,37200,1
,Master,Master of Finance,36100,1
,Master,MBA in Digital Leadership - Online,10334,3
,Master,MBA in Hospitality and Tourism,34800,1
,Master,MBA in Supply Chain Management,13920,2.5
,Master,MBA in Sustainability Leadership - Online,12400,2.5
,Master,MSc in Artificial Intelligence (ODL) - 100% Online,11500,3
,Master,Master of Science in Computing (MSc),13750,2
,Master,MSc in Data Science and Business Analytics,40800,1
,Master,MSc in Data Science and Business Analytics (ODL),14720,2.5
,Master,Master of Science in Digital Transformation,34800,1
,Master,Master of Science in Information Technology Management,34800,1
,Master,MSc in Software Engineering,34800,1
,Doctorate,Doctor of Business Administration (DBA),18267,3
,Doctorate,Doctor of Philosophy in Management (ODL) - 100% Online,12834,3
,Doctorate,PhD in Computing,15600,3
,Doctorate,PhD in Computing (ODL),12834,3
,Doctorate,PhD in Engineering,15600,3
,Doctorate,PhD in Finance,15600,3
,Doctorate,PhD in Management,15600,3
,Doctorate,PhD in Technology,15600,3
,Doctorate,PhD in Technology (ODL),12834,3
,,,,
UOW,Professional,Association of Chartered Certified Accountants (ACCA),11300,2.5
,Professional,Foundation in Accountancy (ACCA-FIA),11450,1
,Foundation,Foundation In Arts,22315,1
,Foundation,Foundation in Engineering,23660,1
,Diploma,Diploma in Business Administration (Hons),21120,2
,Diploma,Diploma in Business (ODL mode),15890,2
,Diploma,Diploma in Communication & Media Studies,23905,2
,Diploma,Diploma in Computer Studies,22195,2
,Diploma,Diploma in Early Childhood Education,14800,2
,Diploma,Diploma in Entertainment Arts,24020,2
